EventNum,Event,,,,,,,,,,,,,,,,,,
0,Load,,,,,,,,,,,,,,,,,,
1,Store,,,,,,,,,,,,,,,,,,
2,Replacement,,,,,,,,,,,,,,,,,,
3,Fwd_GetS,,,,,,,,,,,,,,,,,,
4,Fwd_GetM,,,,,,,,,,,,,,,,,,
5,Inv,,,,,,,,,,,,,,,,,,
6,Put_Ack,,,,,,,,,,,,,,,,,,
7,Data_zeroAck,,,,,,,,,,,,,,,,,,
8,Data_nonZeroAck,,,,,,,,,,,,,,,,,,
9,DataFromOwner,,,,,,,,,,,,,,,,,,
10,InvAck,,,,,,,,,,,,,,,,,,
11,lastInvAck,,,,,,,,,,,,,,,,,,
12,Data_execlusive,,,,,,,,,,,,,,,,,,
13,AckCount,,,,,,,,,,,,,,,,,,
14,AckCount_zero,,,,,,,,,,,,,,,,,,
15,DataFromOwner_nonZeroAck,,,,,,,,,,,,,,,,,,
16,InvM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ActionNum,Action,,,,,,,,,,,,,,,,,,
0,Stall,,,,,,,,,,,,,,,,,,
1,Hit,,,,,,,,,,,,,,,,,,
2,GetS,,,,,,,,,,,,,,,,,,
3,GetM,,,,,,,,,,,,,,,,,,
4,PutS,,,,,,,,,,,,,,,,,,
5,PutM_Data,,,,,,,,,,,,,,,,,,
6,Data2Both,,,,,,,,,,,,,,,,,,
7,Data2Req,,,,,,,,,,,,,,,,,,
8,InvAck2Req,,,,,,,,,,,,,,,,,,
9,InvAck_Data,,,,,,,,,,,,,,,,,,
10,Ack_dec,,,,,,,,,,,,,,,,,,
11,AckNum_set,,,,,,,,,,,,,,,,,,
12,SaveReq,,,,,,,,,,,,,,,,,,
13,Fault,,,,,,,,,,,,,,,,,,
14,PutE,,,,,,,,,,,,,,,,,,
15,PutO_Data,,,,,,,,,,,,,,,,,,
16,SetAck,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
StateNum,State,,,,,,,,,,,,,,,,,,
0,I,,,,,,,,,,,,,,,,,,
1,IS_d,,,,,,,,,,,,,,,,,,
2,IS_dI,,,,,,,,,,,,,,,,,,
3,IM_ad,,,,,,,,,,,,,,,,,,
4,IM_a,,,,,,,,,,,,,,,,,,
5,S,,,,,,,,,,,,,,,,,,
6,SM_ad,,,,,,,,,,,,,,,,,,
7,SM_a,,,,,,,,,,,,,,,,,,
8,M,,,,,,,,,,,,,,,,,,
9,E,,,,,,,,,,,,,,,,,,
10,O,,,,,,,,,,,,,,,,,,
11,OM_ac,,,,,,,,,,,,,,,,,,
12,OM_a,,,,,,,,,,,,,,,,,,
13,OI_a,,,,,,,,,,,,,,,,,,
14,MI_a,,,,,,,,,,,,,,,,,,
15,EI_a,,,,,,,,,,,,,,,,,,
16,SI_a,,,,,,,,,,,,,,,,,,
17,II_a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,stable,isDataValid,Load,Store,Replacement,Fwd_GetS,Fwd_GetM,Inv,Put_Ack,Data_zeroAck,Data_nonZeroAck,DataFromOwner,InvAck,lastInvAck,Data_execlusive,AckCount,AckCount_zero,DataFromOwner_nonZeroAck,InvM
I,1,0,GetS/IS_d,GetM/IM_ad,,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
IS_d,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,InvAck2Req/IS_dI,Fault/,Hit/S,Fault/,Hit/S,Fault/,Fault/,Hit/E,Fault/,Fault/,Fault/,Fault/
IS_dI,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Hit/I,Fault/,Hit/I,Fault/,Fault/,Hit/Data2Req/I,Fault/,Fault/,Fault/,Fault/
IM_ad,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Hit/M,AckNum_set/IM_a,Hit/M,Ack_dec/,Fault/,Fault/,Fault/,Fault/,AckNum_set/IM_a,Stall/
IM_a,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
S,1,1,Hit/,GetM/SM_ad,PutS/SI_a,Fault/,Fault/,InvAck2Req/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
SM_ad,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,InvAck2Req/IM_ad,Fault/,Hit/M,AckNum_set/SM_a,Hit/M,Ack_dec/,Fault/,Fault/,Fault/,Fault/,AckNum_set/SM_a,Stall/
SM_a,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
M,1,1,Hit/,Hit/,PutM_Data/MI_a,Data2Req/O,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
E,1,1,Hit/,Hit/M,PutE/EI_a,Data2Req/O,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
O,1,1,Hit/,GetM/OM_ac,PutO_Data/OI_a,Data2Req/,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
OM_ac,0,1,Hit/,Stall/,Stall/,Data2Req/,Data2Req/IM_ad,InvAck_Data/IM_ad,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Fault/,Fault/,SetAck/OM_a,Hit/SetAck/M,Fault/,InvAck_Data/IM_ad
OM_a,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
OI_a,0,1,Stall/,Stall/,Stall/,Data2Req/,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
MI_a,0,1,Stall/,Stall/,Stall/,Data2Req/OI_a,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
EI_a,0,1,Stall/,Stall/,Stall/,Data2Req/SI_a,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
SI_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,InvAck2Req/II_a,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/