EventNum,Event,,,,,,,,,,,,
0,GetS,,,,,,,,,,,,
1,GetM,,,,,,,,,,,,
2,Replacement,,,,,,,,,,,,
3,PutS,,,,,,,,,,,,
4,last_PutS,,,,,,,,,,,,
5,InvAck,,,,,,,,,,,,
6,last_InvAck,,,,,,,,,,,,
7,PutM_Data_fromOwner,,,,,,,,,,,,
8,PutM_Data_fromNonOwner,,,,,,,,,,,,
9,Data_fromLowerInterface,,,,,,,,,,,,
10,Data_fromUpperInterface,,,,,,,,,,,,
,,,,,,,,,,,,,
ActionNum,Action,,,,,,,,,,,,
0,Stall,,,,,,,,,,,,
1,GetData,,,,,,,,,,,,
2,SendData,,,,,,,,,,,,
3,SaveData,,,,,,,,,,,,
4,SetOwner,,,,,,,,,,,,
5,ClearOwner,,,,,,,,,,,,
6,SendInv,,,,,,,,,,,,
7,WriteBack,,,,,,,,,,,,
8,FwdGetS,,,,,,,,,,,,
9,FwdGetM,,,,,,,,,,,,
10,PutAck,,,,,,,,,,,,
11,IncSharers,,,,,,,,,,,,
12,DecSharers,,,,,,,,,,,,
13,Fault,,,,,,,,,,,,
,,,,,,,,,,,,,
StateNum,State,,,,,,,,,,,,
0,N,,,,,,,,,,,,
1,NS_d,,,,,,,,,,,,
2,NM_d,,,,,,,,,,,,
3,I,,,,,,,,,,,,
4,S,,,,,,,,,,,,
5,M,,,,,,,,,,,,
6,S_d,,,,,,,,,,,,
7,N_d,,,,,,,,,,,,
8,N_a,,,,,,,,,,,,
,,,,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutS,last_PutS,InvAck,last_InvAck,PutM_Data_fromOwner,PutM_Data_fromNonOwner,Data_fromLowerInterface,Data_fromUpperInterface
N,1,0,GetData/IncSharers/NS_d,SetOwner/GetData/NM_d,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
NS_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,SendData/S
NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,SendData/M
I,1,1,SendData/IncSharers/S,SetOwner/SendData/M,WriteBack/N,PutAck/,PutAck/,Fault/,PutAck/,Fault/,PutAck/,Fault/,Fault/
S,1,1,SendData/IncSharers/,SetOwner/SendData/SendInv/M,SendInv/WriteBack/N_a,PutAck/DecSharers/,PutAck/DecSharers/I,Fault/,Fault/,Fault/,PutAck/DecSharers/,Fault/,Fault/
M,1,1,ClearOwner/FwdGetS/IncSharers/S_d,SetOwner/FwdGetM/,SendInv/N_d,PutAck/,PutAck/,DecSharers/,DecSharers/,ClearOwner/DecSharers/PutAck/SaveData/I,PutAck/,Fault/,Fault/
S_d,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,PutAck/DecSharers/,SaveData/S,Fault/
N_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,ClearOwner/DecSharers/PutAck/WriteBack/N,PutAck/,DecSharers/WriteBack/N,Fault/
N_a,0,1,Stall/,Stall/,Stall/,PutAck/,PutAck/,DecSharers/,DecSharers/N,Fault/,Fault/,Fault/,Fault/